review_rank,case_id,route_label,priority_score,predicted_exploitation_type,P(Sex),P(Labor),P(Both),confidence,target_probability,key_indicators,selected_for_review,reviewer_action,reviewer_notes
11,CTDC-SYN-0305,Labor-focused review or labor-plus-multidisciplinary review,64.47,Labor,0.33432284,0.3540385,0.31163865,0.3540385,0.3540385,debt_bondage; excessive_work_hours; close_recruiter_relationship,True,,
12,CTDC-SYN-0392,Labor-focused review or labor-plus-multidisciplinary review,63.59,Sex,0.800621,0.034850445,0.1645286,0.800621,0.1645286,close_recruiter_relationship,True,,
13,CTDC-SYN-0348,Labor-focused review or labor-plus-multidisciplinary review,63.59,Sex,0.800621,0.034850445,0.1645286,0.800621,0.1645286,close_recruiter_relationship,True,,
14,CTDC-SYN-0050,Labor-focused review or labor-plus-multidisciplinary review,63.32,Sex,0.8431017,0.014936717,0.14196162,0.8431017,0.14196162,denial_basic_needs; threats; close_recruiter_relationship,True,,
15,CTDC-SYN-0160,Labor-focused review or labor-plus-multidisciplinary review,62.05,Sex,0.6107225,0.2804763,0.10880123,0.6107225,0.2804763,debt_bondage; excessive_work_hours; denial_basic_needs; threats; close_recruiter_relationship,True,,
16,CTDC-SYN-0202,Labor-focused review or labor-plus-multidisciplinary review,61.84,Sex,0.81693447,0.1146911,0.068374485,0.81693447,0.1146911,debt_bondage; denial_basic_needs; close_recruiter_relationship,True,,
17,CTDC-SYN-0270,Labor-focused review or labor-plus-multidisciplinary review,60.75,Sex,0.96393347,0.0036834693,0.032383,0.96393347,0.032383,denial_basic_needs; close_recruiter_relationship,True,,
18,CTDC-SYN-0131,Labor-focused review or labor-plus-multidisciplinary review,60.44,Sex,0.9723813,0.006339111,0.021279622,0.9723813,0.021279622,close_recruiter_relationship,True,,
19,CTDC-SYN-0119,Labor-focused review or labor-plus-multidisciplinary review,60.35,Sex,0.977224,0.0055632135,0.017212784,0.977224,0.017212784,close_recruiter_relationship,True,,
20,CTDC-SYN-0366,Labor-focused review or labor-plus-multidisciplinary review,60.34,Labor,0.3566982,0.36983278,0.273469,0.36983278,0.36983278,debt_bondage; close_recruiter_relationship,True,,
21,CTDC-SYN-0230,Labor-focused review or labor-plus-multidisciplinary review,60.18,Sex,0.9867071,0.0038359747,0.009456952,0.9867071,0.009456952,denial_basic_needs; threats; close_recruiter_relationship,True,,
22,CTDC-SYN-0205,Labor-focused review or labor-plus-multidisciplinary review,60.09,Sex,0.9845606,0.007919429,0.00752002,0.9845606,0.007919429,threats; close_recruiter_relationship,True,,
23,CTDC-SYN-0120,Labor-focused review or labor-plus-multidisciplinary review,59.63,Labor,0.35200745,0.35685155,0.29114097,0.35685155,0.35685155,debt_bondage; withheld_documents; threats; close_recruiter_relationship,True,,
24,CTDC-SYN-0212,Labor-focused review or labor-plus-multidisciplinary review,59.55,Both,0.31601873,0.3285963,0.35538495,0.35538495,0.35538495,debt_bondage; excessive_work_hours; close_recruiter_relationship,True,,
25,CTDC-SYN-0225,Labor-focused review or labor-plus-multidisciplinary review,57.81,Sex,0.81428045,0.13996866,0.04575093,0.81428045,0.13996866,close_recruiter_relationship,True,,
26,CTDC-SYN-0218,Labor-focused review or labor-plus-multidisciplinary review,57.2,Sex,0.9692513,0.0059028165,0.024845902,0.9692513,0.024845902,denial_basic_needs; close_recruiter_relationship,True,,
27,CTDC-SYN-0365,Labor-focused review or labor-plus-multidisciplinary review,57.17,Sex,0.6788638,0.29966614,0.021470036,0.6788638,0.29966614,debt_bondage; close_recruiter_relationship,True,,
28,CTDC-SYN-0362,Labor-focused review or labor-plus-multidisciplinary review,56.87,Sex,0.9778009,0.008792654,0.013406403,0.9778009,0.013406403,denial_basic_needs; threats; close_recruiter_relationship,True,,
29,CTDC-SYN-0282,Labor-focused review or labor-plus-multidisciplinary review,56.26,Sex,0.93120825,0.011491196,0.057300538,0.93120825,0.057300538,denial_basic_needs; threats; close_recruiter_relationship,True,,
30,CTDC-SYN-0263,Labor-focused review or labor-plus-multidisciplinary review,55.77,Sex,0.96423095,0.003106662,0.032662343,0.96423095,0.032662343,close_recruiter_relationship,True,,
31,CTDC-SYN-0339,Labor-focused review or labor-plus-multidisciplinary review,55.71,Sex,0.9637983,0.004802225,0.031399474,0.9637983,0.031399474,threats; close_recruiter_relationship,False,,
32,CTDC-SYN-0072,Labor-focused review or labor-plus-multidisciplinary review,55.52,Sex,0.9748536,0.0027493543,0.022397092,0.9748536,0.022397092,threats; close_recruiter_relationship,False,,
33,CTDC-SYN-0259,Labor-focused review or labor-plus-multidisciplinary review,55.26,Sex,0.97102565,0.011587767,0.017386617,0.97102565,0.017386617,denial_basic_needs; threats; close_recruiter_relationship,False,,
34,CTDC-SYN-0140,Labor-focused review or labor-plus-multidisciplinary review,55.22,Sex,0.9804283,0.0067899874,0.012781788,0.9804283,0.012781788,threats; close_recruiter_relationship,False,,
35,CTDC-SYN-0264,Labor-focused review or labor-plus-multidisciplinary review,51.16,Sex,0.89297616,0.037795857,0.06922803,0.89297616,0.06922803,debt_bondage; close_recruiter_relationship,False,,
36,CTDC-SYN-0036,Labor-focused review or labor-plus-multidisciplinary review,50.96,Sex,0.9544756,0.0044426112,0.041081853,0.9544756,0.041081853,close_recruiter_relationship,False,,
37,CTDC-SYN-0276,Labor-focused review or labor-plus-multidisciplinary review,50.93,Sex,0.95069474,0.041637693,0.0076676286,0.95069474,0.041637693,threats; close_recruiter_relationship,False,,
38,CTDC-SYN-0199,Labor-focused review or labor-plus-multidisciplinary review,50.21,Sex,0.97211593,0.012131058,0.015752994,0.97211593,0.015752994,threats; close_recruiter_relationship,False,,
39,CTDC-SYN-0150,Labor-focused review or labor-plus-multidisciplinary review,50.13,Sex,0.97439766,0.01267462,0.012927754,0.97439766,0.012927754,threats; close_recruiter_relationship,False,,
40,CTDC-SYN-0083,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.003265813,0.98968375,0.0070503764,0.98968375,0.98968375,debt_bondage; excessive_work_hours; withheld_documents; denial_basic_needs,False,,
41,CTDC-SYN-0384,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.0033484842,0.9891704,0.007481154,0.9891704,0.9891704,debt_bondage; excessive_work_hours; withheld_documents; denial_basic_needs,False,,
42,CTDC-SYN-0092,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.0032612705,0.9883072,0.008431583,0.9883072,0.9883072,debt_bondage; excessive_work_hours; withheld_documents; denial_basic_needs; threats,False,,
43,CTDC-SYN-0078,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.0036280525,0.98777235,0.008599606,0.98777235,0.98777235,debt_bondage; excessive_work_hours; withheld_documents; denial_basic_needs,False,,
44,CTDC-SYN-0242,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.0036231843,0.98644686,0.009929953,0.98644686,0.98644686,debt_bondage; excessive_work_hours; withheld_documents; denial_basic_needs,False,,
45,CTDC-SYN-0049,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.013482989,0.98061746,0.0058995574,0.98061746,0.98061746,excessive_work_hours; withheld_documents; denial_basic_needs,False,,
46,CTDC-SYN-0353,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.003869616,0.97948223,0.016648123,0.97948223,0.97948223,debt_bondage; excessive_work_hours; withheld_documents; threats,False,,
47,CTDC-SYN-0301,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.008006535,0.97943044,0.012563044,0.97943044,0.97943044,debt_bondage; excessive_work_hours; denial_basic_needs,False,,
48,CTDC-SYN-0247,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.0072003165,0.97891486,0.013884818,0.97891486,0.97891486,debt_bondage; excessive_work_hours; denial_basic_needs,False,,
49,CTDC-SYN-0053,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.00782247,0.9784726,0.013704931,0.9784726,0.9784726,debt_bondage; excessive_work_hours; denial_basic_needs,False,,
50,CTDC-SYN-0180,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.0033647835,0.9771738,0.01946148,0.9771738,0.9771738,debt_bondage; excessive_work_hours; withheld_documents; denial_basic_needs,False,,
51,CTDC-SYN-0214,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.0033631157,0.97668946,0.019947376,0.97668946,0.97668946,debt_bondage; excessive_work_hours; withheld_documents; denial_basic_needs,False,,
52,CTDC-SYN-0338,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.003020702,0.97496074,0.022018619,0.97496074,0.97496074,debt_bondage; excessive_work_hours; withheld_documents; denial_basic_needs,False,,
53,CTDC-SYN-0368,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.003074205,0.9745172,0.022408616,0.9745172,0.9745172,debt_bondage; excessive_work_hours; withheld_documents; denial_basic_needs,False,,
54,CTDC-SYN-0197,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.008292957,0.97433245,0.017374521,0.97433245,0.97433245,debt_bondage; excessive_work_hours; denial_basic_needs,False,,
55,CTDC-SYN-0017,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.0073219966,0.97360015,0.019077877,0.97360015,0.97360015,debt_bondage; excessive_work_hours; withheld_documents; denial_basic_needs,False,,
56,CTDC-SYN-0210,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.015036016,0.9721763,0.012787672,0.9721763,0.9721763,debt_bondage; excessive_work_hours; denial_basic_needs,False,,
57,CTDC-SYN-0143,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.012479942,0.9717568,0.015763244,0.9717568,0.9717568,excessive_work_hours; withheld_documents; denial_basic_needs,False,,
58,CTDC-SYN-0014,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.011930862,0.96828,0.019789046,0.96828,0.96828,excessive_work_hours; withheld_documents; denial_basic_needs,False,,
59,CTDC-SYN-0118,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.010614342,0.96785206,0.021533547,0.96785206,0.96785206,debt_bondage; excessive_work_hours; denial_basic_needs; threats,False,,
60,CTDC-SYN-0223,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.018538684,0.9672888,0.014172473,0.9672888,0.9672888,excessive_work_hours; withheld_documents,False,,
61,CTDC-SYN-0246,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.015208135,0.963328,0.021463852,0.963328,0.963328,debt_bondage; excessive_work_hours,False,,
62,CTDC-SYN-0215,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.011962657,0.96087414,0.027163204,0.96087414,0.96087414,debt_bondage; withheld_documents; denial_basic_needs,False,,
63,CTDC-SYN-0111,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.0069830837,0.95972186,0.033295106,0.95972186,0.95972186,debt_bondage; excessive_work_hours; withheld_documents; denial_basic_needs,False,,
64,CTDC-SYN-0105,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.017724043,0.95719194,0.025084008,0.95719194,0.95719194,debt_bondage; excessive_work_hours,False,,
65,CTDC-SYN-0189,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.011826605,0.9556556,0.032517783,0.9556556,0.9556556,debt_bondage; withheld_documents; denial_basic_needs; threats,False,,
66,CTDC-SYN-0141,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.030513749,0.9548151,0.014671211,0.9548151,0.9548151,debt_bondage; withheld_documents; denial_basic_needs,False,,
67,CTDC-SYN-0007,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.010863108,0.95400184,0.035135023,0.95400184,0.95400184,excessive_work_hours; withheld_documents; denial_basic_needs,False,,
68,CTDC-SYN-0081,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.003904011,0.9526908,0.043405257,0.9526908,0.9526908,debt_bondage; excessive_work_hours; withheld_documents,False,,
69,CTDC-SYN-0203,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.009576721,0.9523996,0.038023733,0.9523996,0.9523996,debt_bondage; excessive_work_hours; denial_basic_needs,False,,
70,CTDC-SYN-0320,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.019732557,0.9522942,0.027973317,0.9522942,0.9522942,excessive_work_hours; withheld_documents; denial_basic_needs; threats,False,,
71,CTDC-SYN-0100,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.034480806,0.9521848,0.013334372,0.9521848,0.9521848,excessive_work_hours; withheld_documents; denial_basic_needs; threats,False,,
72,CTDC-SYN-0087,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.015063571,0.95039195,0.034544457,0.95039195,0.95039195,debt_bondage; excessive_work_hours; withheld_documents,False,,
73,CTDC-SYN-0172,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.017746177,0.95001763,0.03223622,0.95001763,0.95001763,debt_bondage; excessive_work_hours; threats,False,,
74,CTDC-SYN-0116,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.003574121,0.9463459,0.050079983,0.9463459,0.9463459,debt_bondage; excessive_work_hours; withheld_documents,False,,
75,CTDC-SYN-0001,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.008613967,0.9398687,0.0515174,0.9398687,0.9398687,excessive_work_hours; withheld_documents; threats,False,,
76,CTDC-SYN-0008,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.009628874,0.93648696,0.053884175,0.93648696,0.93648696,debt_bondage; excessive_work_hours; denial_basic_needs; threats,False,,
77,CTDC-SYN-0399,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.008568474,0.9349049,0.056526657,0.9349049,0.9349049,excessive_work_hours; withheld_documents,False,,
78,CTDC-SYN-0057,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.029849628,0.93423426,0.035916116,0.93423426,0.93423426,excessive_work_hours; denial_basic_needs,False,,
79,CTDC-SYN-0031,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.029849628,0.93423426,0.035916116,0.93423426,0.93423426,excessive_work_hours; denial_basic_needs,False,,
80,CTDC-SYN-0354,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.0085512,0.9326384,0.058810387,0.9326384,0.9326384,debt_bondage; excessive_work_hours,False,,
81,CTDC-SYN-0327,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.013750901,0.9309794,0.055269804,0.9309794,0.9309794,debt_bondage; excessive_work_hours; withheld_documents,False,,
82,CTDC-SYN-0336,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.040312603,0.92997575,0.02971172,0.92997575,0.92997575,excessive_work_hours; withheld_documents; denial_basic_needs,False,,
83,CTDC-SYN-0159,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.047381226,0.9284724,0.024146339,0.9284724,0.9284724,excessive_work_hours; withheld_documents,False,,
84,CTDC-SYN-0228,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.008646535,0.9251808,0.066172615,0.9251808,0.9251808,debt_bondage; excessive_work_hours; withheld_documents; denial_basic_needs; threats,False,,
85,CTDC-SYN-0244,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.008419363,0.92104954,0.07053113,0.92104954,0.92104954,debt_bondage; excessive_work_hours; withheld_documents; threats,False,,
86,CTDC-SYN-0303,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.010902803,0.9186573,0.07043986,0.9186573,0.9186573,debt_bondage; withheld_documents,False,,
87,CTDC-SYN-0211,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.01701194,0.91849524,0.06449286,0.91849524,0.91849524,debt_bondage; excessive_work_hours; withheld_documents; denial_basic_needs; threats,False,,
88,CTDC-SYN-0367,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.042573214,0.9142452,0.04318165,0.9142452,0.9142452,excessive_work_hours; withheld_documents,False,,
89,CTDC-SYN-0236,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.027444338,0.9060729,0.0664827,0.9060729,0.9060729,excessive_work_hours; denial_basic_needs; threats,False,,
90,CTDC-SYN-0144,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.027442241,0.8991898,0.07336798,0.8991898,0.8991898,debt_bondage; excessive_work_hours,False,,
91,CTDC-SYN-0260,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.09219919,0.89313406,0.014666706,0.89313406,0.89313406,excessive_work_hours; denial_basic_needs,False,,
92,CTDC-SYN-0357,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.011299162,0.88721305,0.101487815,0.88721305,0.88721305,debt_bondage; withheld_documents; threats,False,,
93,CTDC-SYN-0233,Labor-focused review or labor-plus-multidisciplinary review,,Both,0.025922874,0.088234544,0.8858426,0.8858426,0.8858426,debt_bondage; excessive_work_hours; withheld_documents,False,,
94,CTDC-SYN-0102,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.07750114,0.8856969,0.036801983,0.8856969,0.8856969,withheld_documents,False,,
95,CTDC-SYN-0380,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.08533965,0.8819027,0.032757714,0.8819027,0.8819027,withheld_documents; denial_basic_needs; threats,False,,
96,CTDC-SYN-0030,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.073532976,0.87787724,0.04858976,0.87787724,0.87787724,debt_bondage,False,,
97,CTDC-SYN-0003,Labor-focused review or labor-plus-multidisciplinary review,,Both,0.056355514,0.09509438,0.8485501,0.8485501,0.8485501,debt_bondage; excessive_work_hours; withheld_documents; denial_basic_needs,False,,
98,CTDC-SYN-0331,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.1461409,0.84409523,0.009763896,0.84409523,0.84409523,excessive_work_hours; denial_basic_needs,False,,
99,CTDC-SYN-0361,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.14538127,0.8369734,0.017645271,0.8369734,0.8369734,debt_bondage; denial_basic_needs; threats,False,,
100,CTDC-SYN-0238,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.14340736,0.8256094,0.030983271,0.8256094,0.8256094,debt_bondage; denial_basic_needs,False,,
101,CTDC-SYN-0012,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.11246733,0.81879395,0.06873868,0.81879395,0.81879395,debt_bondage; threats,False,,
102,CTDC-SYN-0393,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.14119086,0.8000931,0.05871606,0.8000931,0.8000931,debt_bondage; denial_basic_needs,False,,
103,CTDC-SYN-0277,Labor-focused review or labor-plus-multidisciplinary review,,Both,0.17222124,0.035828695,0.7919501,0.7919501,0.7919501,excessive_work_hours; withheld_documents; threats,False,,
104,CTDC-SYN-0317,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.13909677,0.7891543,0.07174899,0.7891543,0.7891543,excessive_work_hours,False,,
105,CTDC-SYN-0179,Labor-focused review or labor-plus-multidisciplinary review,,Both,0.01102067,0.20361172,0.7853676,0.7853676,0.7853676,debt_bondage; excessive_work_hours; withheld_documents; denial_basic_needs; threats,False,,
106,CTDC-SYN-0257,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.023106866,0.78078026,0.19611287,0.78078026,0.78078026,debt_bondage; excessive_work_hours; withheld_documents; denial_basic_needs,False,,
107,CTDC-SYN-0186,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.13625738,0.7791664,0.084576234,0.7791664,0.7791664,debt_bondage; withheld_documents,False,,
108,CTDC-SYN-0250,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.04545017,0.77202165,0.18252815,0.77202165,0.77202165,excessive_work_hours; withheld_documents,False,,
109,CTDC-SYN-0056,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.054821674,0.7614499,0.18372843,0.7614499,0.7614499,debt_bondage; excessive_work_hours; denial_basic_needs; threats,False,,
110,CTDC-SYN-0226,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.22794062,0.7445552,0.027504249,0.7445552,0.7445552,excessive_work_hours; denial_basic_needs; close_recruiter_relationship,False,,
111,CTDC-SYN-0217,Labor-focused review or labor-plus-multidisciplinary review,,Both,0.12170752,0.14843164,0.72986084,0.72986084,0.72986084,debt_bondage; excessive_work_hours,False,,
112,CTDC-SYN-0065,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.26314774,0.6830488,0.053803537,0.6830488,0.6830488,excessive_work_hours; close_recruiter_relationship,False,,
113,CTDC-SYN-0064,Labor-focused review or labor-plus-multidisciplinary review,,Both,0.041276835,0.30805948,0.6506637,0.6506637,0.6506637,debt_bondage; excessive_work_hours,False,,
114,CTDC-SYN-0110,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.07657444,0.64442044,0.27900508,0.64442044,0.64442044,debt_bondage; withheld_documents; denial_basic_needs,False,,
115,CTDC-SYN-0356,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.035346687,0.63361853,0.3310348,0.63361853,0.63361853,debt_bondage; excessive_work_hours; threats,False,,
116,CTDC-SYN-0370,Labor-focused review or labor-plus-multidisciplinary review,,Both,0.015048306,0.3595916,0.62536013,0.62536013,0.62536013,excessive_work_hours; withheld_documents; denial_basic_needs,False,,
117,CTDC-SYN-0280,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.1809908,0.6155566,0.20345265,0.6155566,0.6155566,excessive_work_hours; denial_basic_needs; threats,False,,
118,CTDC-SYN-0321,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.038262144,0.60024405,0.36149383,0.60024405,0.60024405,debt_bondage; excessive_work_hours; withheld_documents; denial_basic_needs; threats,False,,
119,CTDC-SYN-0010,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.09213535,0.59114975,0.3167149,0.59114975,0.59114975,debt_bondage; excessive_work_hours; threats,False,,
120,CTDC-SYN-0387,Labor-focused review or labor-plus-multidisciplinary review,,Both,0.061776094,0.35426006,0.5839639,0.5839639,0.5839639,debt_bondage; excessive_work_hours; threats,False,,
121,CTDC-SYN-0325,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.063909955,0.58394563,0.35214442,0.58394563,0.58394563,debt_bondage; excessive_work_hours; threats,False,,
122,CTDC-SYN-0388,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.03182431,0.5836397,0.38453606,0.5836397,0.5836397,debt_bondage; excessive_work_hours,False,,
123,CTDC-SYN-0209,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.34039292,0.5795832,0.080023855,0.5795832,0.5795832,excessive_work_hours; denial_basic_needs,False,,
124,CTDC-SYN-0006,Labor-focused review or labor-plus-multidisciplinary review,,Both,0.34146705,0.083969876,0.5745631,0.5745631,0.5745631,withheld_documents; denial_basic_needs; threats,False,,
125,CTDC-SYN-0381,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.3912899,0.56593585,0.042774215,0.56593585,0.56593585,excessive_work_hours; close_recruiter_relationship,False,,
126,CTDC-SYN-0322,Labor-focused review or labor-plus-multidisciplinary review,,Both,0.037113596,0.39812556,0.56476086,0.56476086,0.56476086,debt_bondage; excessive_work_hours; withheld_documents; denial_basic_needs,False,,
127,CTDC-SYN-0183,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.0741622,0.56372553,0.36211222,0.56372553,0.56372553,excessive_work_hours; withheld_documents,False,,
128,CTDC-SYN-0004,Labor-focused review or labor-plus-multidisciplinary review,,Both,0.03529854,0.40672928,0.5579722,0.5579722,0.5579722,debt_bondage; excessive_work_hours; withheld_documents; denial_basic_needs,False,,
129,CTDC-SYN-0224,Labor-focused review or labor-plus-multidisciplinary review,,Both,0.03529854,0.40672928,0.5579722,0.5579722,0.5579722,debt_bondage; excessive_work_hours; withheld_documents; denial_basic_needs,False,,
130,CTDC-SYN-0330,Labor-focused review or labor-plus-multidisciplinary review,,Both,0.29860616,0.18254717,0.51884663,0.51884663,0.51884663,withheld_documents; denial_basic_needs,False,,
131,CTDC-SYN-0341,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.22668846,0.4778605,0.29545105,0.4778605,0.4778605,excessive_work_hours; threats,False,,
132,CTDC-SYN-0300,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.19477057,0.47403657,0.33119285,0.47403657,0.47403657,debt_bondage; withheld_documents,False,,
133,CTDC-SYN-0174,Labor-focused review or labor-plus-multidisciplinary review,,Sex,0.4721372,0.4538819,0.07398095,0.4721372,0.4538819,excessive_work_hours,False,,
134,CTDC-SYN-0025,Labor-focused review or labor-plus-multidisciplinary review,,Sex,0.47484633,0.4236043,0.10154933,0.47484633,0.4236043,excessive_work_hours; denial_basic_needs,False,,
135,CTDC-SYN-0326,Labor-focused review or labor-plus-multidisciplinary review,,Sex,0.55167335,0.4194583,0.028868344,0.55167335,0.4194583,withheld_documents; denial_basic_needs,False,,
136,CTDC-SYN-0182,Labor-focused review or labor-plus-multidisciplinary review,,Sex,0.58160686,0.37733302,0.041060112,0.58160686,0.37733302,denial_basic_needs; threats,False,,
137,CTDC-SYN-0090,Labor-focused review or labor-plus-multidisciplinary review,,Sex,0.5891405,0.376247,0.034612518,0.5891405,0.376247,denial_basic_needs,False,,
138,CTDC-SYN-0184,Labor-focused review or labor-plus-multidisciplinary review,,Labor,0.3404793,0.37053105,0.2889896,0.37053105,0.37053105,excessive_work_hours; denial_basic_needs; close_recruiter_relationship,False,,
139,CTDC-SYN-0309,Labor-focused review or labor-plus-multidisciplinary review,,Sex,0.62236834,0.351363,0.0262686,0.62236834,0.351363,no configured indicator above threshold,False,,
140,CTDC-SYN-0093,Labor-focused review or labor-plus-multidisciplinary review,,Sex,0.58572984,0.34706032,0.06720986,0.58572984,0.34706032,excessive_work_hours; denial_basic_needs,False,,
